iter	Passed	Remaining
0	141	141033
1	142	71045
2	143	47672
3	144	36049
4	146	29086
5	147	24384
6	148	21063
7	150	18668
8	154	16990
9	156	15489
10	159	14306
11	161	13330
12	165	12540
13	169	11968
14	172	11351
15	175	10812
16	178	10340
17	181	9907
18	185	9569
19	189	9263
20	192	8962
21	195	8675
22	199	8458
23	201	8199
24	203	7933
25	205	7709
26	208	7519
27	211	7336
28	214	7168
29	217	7025
30	219	6871
31	222	6720
32	225	6596
33	228	6485
34	231	6376
35	234	6266
36	236	6167
37	240	6096
38	244	6036
39	248	5958
40	251	5878
41	254	5797
42	256	5709
43	260	5652
44	263	5581
45	266	5528
46	269	5462
47	272	5400
48	275	5344
49	278	5287
50	281	5236
51	283	5176
52	286	5119
53	289	5080
54	293	5039
55	296	4995
56	299	4947
57	301	4903
58	305	4869
59	308	4831
60	311	4793
61	314	4752
62	317	4717
63	321	4697
64	324	4672
65	328	4642
66	330	4604
67	333	4577
68	337	4558
69	341	4535
70	343	4499
71	345	4457
72	348	4425
73	351	4394
74	353	4360
75	355	4323
76	357	4285
77	359	4254
78	362	4226
79	366	4211
80	368	4180
81	370	4151
82	371	4108
83	374	4084
84	377	4060
85	380	4047
86	383	4026
87	386	4009
88	389	3989
89	395	3996
90	397	3973
91	400	3948
92	402	3922
93	404	3899
94	407	3881
95	410	3867
96	413	3851
97	416	3829
98	418	3806
99	420	3786
100	422	3763
101	425	3745
102	426	3714
103	427	3686
104	429	3656
105	430	3627
106	431	3598
107	432	3574
108	434	3548
109	435	3523
110	436	3498
111	438	3476
112	439	3452
113	440	3426
114	442	3402
115	443	3379
116	444	3357
117	446	3335
118	447	3310
119	448	3286
120	449	3264
121	450	3239
122	451	3217
123	453	3202
124	454	3184
125	456	3166
126	457	3143
127	458	3123
128	459	3103
129	460	3083
130	461	3063
131	463	3044
132	464	3026
133	465	3007
134	466	2989
135	467	2973
136	469	2956
137	470	2939
138	471	2922
139	472	2905
140	473	2887
141	474	2867
142	475	2850
143	476	2833
144	477	2816
145	478	2800
146	479	2784
147	480	2768
148	482	2757
149	484	2742
150	485	2728
151	486	2714
152	487	2698
153	488	2683
154	489	2670
155	491	2656
156	492	2642
157	493	2629
158	494	2615
159	495	2602
160	496	2586
161	498	2576
162	499	2563
163	500	2552
164	502	2541
165	503	2528
166	504	2516
167	505	2505
168	507	2493
169	508	2482
170	509	2470
171	510	2458
172	513	2453
173	514	2444
174	516	2434
175	517	2422
176	518	2412
177	520	2401
178	521	2390
179	522	2379
180	523	2368
181	524	2358
182	525	2346
183	528	2342
184	529	2332
185	530	2323
186	532	2316
187	534	2310
188	536	2302
189	538	2295
190	539	2285
191	540	2274
192	541	2264
193	543	2256
194	544	2247
195	545	2239
196	546	2229
197	548	2219
198	549	2211
199	550	2202
200	551	2193
201	552	2184
202	554	2175
203	555	2166
204	556	2159
205	558	2151
206	559	2143
207	560	2135
208	562	2127
209	563	2118
210	564	2110
211	565	2102
212	566	2093
213	567	2084
214	568	2076
215	569	2067
216	570	2059
217	572	2052
218	573	2044
219	574	2036
220	575	2028
221	576	2020
222	577	2013
223	578	2005
224	579	1997
225	580	1989
226	582	1982
227	583	1974
